"timestamp","boarding","alighting","day_of_week","temperature","hour_of_day","month","weekend"
"2018-09-01 06:00:00",0,1,"Sat",74.82,6,"Sep","weekend"
"2018-09-01 06:15:00",2,1,"Sat",74.82,6,"Sep","weekend"
"2018-09-01 06:30:00",3,4,"Sat",74.82,6,"Sep","weekend"
"2018-09-01 06:45:00",3,4,"Sat",74.82,6,"Sep","weekend"
"2018-09-01 07:00:00",2,4,"Sat",74.39,7,"Sep","weekend"
"2018-09-01 07:15:00",4,4,"Sat",74.39,7,"Sep","weekend"
"2018-09-01 07:30:00",3,12,"Sat",74.39,7,"Sep","weekend"
"2018-09-01 07:45:00",8,4,"Sat",74.39,7,"Sep","weekend"
"2018-09-01 08:00:00",4,15,"Sat",75.72,8,"Sep","weekend"
"2018-09-01 08:15:00",7,10,"Sat",75.72,8,"Sep","weekend"
"2018-09-01 08:30:00",2,4,"Sat",75.72,8,"Sep","weekend"
"2018-09-01 08:45:00",1,12,"Sat",75.72,8,"Sep","weekend"
"2018-09-01 09:00:00",7,15,"Sat",79.69,9,"Sep","weekend"
"2018-09-01 09:15:00",10,9,"Sat",79.69,9,"Sep","weekend"
"2018-09-01 09:30:00",11,15,"Sat",79.69,9,"Sep","weekend"
"2018-09-01 09:45:00",9,22,"Sat",79.69,9,"Sep","weekend"
"2018-09-01 10:00:00",19,26,"Sat",83.2,10,"Sep","weekend"
"2018-09-01 10:15:00",16,9,"Sat",83.2,10,"Sep","weekend"
"2018-09-01 10:30:00",37,10,"Sat",83.2,10,"Sep","weekend"
"2018-09-01 10:45:00",18,16,"Sat",83.2,10,"Sep","weekend"
"2018-09-01 11:00:00",18,12,"Sat",86.55,11,"Sep","weekend"
"2018-09-01 11:15:00",27,34,"Sat",86.55,11,"Sep","weekend"
"2018-09-01 11:30:00",5,14,"Sat",86.55,11,"Sep","weekend"
"2018-09-01 11:45:00",20,13,"Sat",86.55,11,"Sep","weekend"
"2018-09-01 12:00:00",4,10,"Sat",88.97,12,"Sep","weekend"
"2018-09-01 12:15:00",28,14,"Sat",88.97,12,"Sep","weekend"
"2018-09-01 12:30:00",17,12,"Sat",88.97,12,"Sep","weekend"
"2018-09-01 12:45:00",17,21,"Sat",88.97,12,"Sep","weekend"
"2018-09-01 13:00:00",15,11,"Sat",91.11,13,"Sep","weekend"
"2018-09-01 13:15:00",22,9,"Sat",91.11,13,"Sep","weekend"
"2018-09-01 13:30:00",14,15,"Sat",91.11,13,"Sep","weekend"
"2018-09-01 13:45:00",22,17,"Sat",91.11,13,"Sep","weekend"
"2018-09-01 14:00:00",27,13,"Sat",92.6,14,"Sep","weekend"
"2018-09-01 14:15:00",7,12,"Sat",92.6,14,"Sep","weekend"
"2018-09-01 14:30:00",11,17,"Sat",92.6,14,"Sep","weekend"
"2018-09-01 14:45:00",17,14,"Sat",92.6,14,"Sep","weekend"
"2018-09-01 15:00:00",22,13,"Sat",94.93,15,"Sep","weekend"
"2018-09-01 15:15:00",11,23,"Sat",94.93,15,"Sep","weekend"
"2018-09-01 15:30:00",26,12,"Sat",94.93,15,"Sep","weekend"
"2018-09-01 15:45:00",5,17,"Sat",94.93,15,"Sep","weekend"
"2018-09-01 16:00:00",22,20,"Sat",95.24,16,"Sep","weekend"
"2018-09-01 16:15:00",18,12,"Sat",95.24,16,"Sep","weekend"
"2018-09-01 16:30:00",23,7,"Sat",95.24,16,"Sep","weekend"
"2018-09-01 16:45:00",20,30,"Sat",95.24,16,"Sep","weekend"
"2018-09-01 17:00:00",16,14,"Sat",97.64,17,"Sep","weekend"
"2018-09-01 17:15:00",13,17,"Sat",97.64,17,"Sep","weekend"
"2018-09-01 17:30:00",15,17,"Sat",97.64,17,"Sep","weekend"
"2018-09-01 17:45:00",34,29,"Sat",97.64,17,"Sep","weekend"
"2018-09-01 18:00:00",13,19,"Sat",97.39,18,"Sep","weekend"
"2018-09-01 18:15:00",22,8,"Sat",97.39,18,"Sep","weekend"
"2018-09-01 18:30:00",6,2,"Sat",97.39,18,"Sep","weekend"
"2018-09-01 18:45:00",18,14,"Sat",97.39,18,"Sep","weekend"
"2018-09-01 19:00:00",9,14,"Sat",95.35,19,"Sep","weekend"
"2018-09-01 19:15:00",8,15,"Sat",95.35,19,"Sep","weekend"
"2018-09-01 19:30:00",9,5,"Sat",95.35,19,"Sep","weekend"
"2018-09-01 19:45:00",13,25,"Sat",95.35,19,"Sep","weekend"
"2018-09-01 20:00:00",13,12,"Sat",92.65,20,"Sep","weekend"
"2018-09-01 20:15:00",15,23,"Sat",92.65,20,"Sep","weekend"
"2018-09-01 20:30:00",4,7,"Sat",92.65,20,"Sep","weekend"
"2018-09-01 20:45:00",13,33,"Sat",92.65,20,"Sep","weekend"
"2018-09-01 21:00:00",30,23,"Sat",90.82,21,"Sep","weekend"
"2018-09-01 21:15:00",5,16,"Sat",90.82,21,"Sep","weekend"
"2018-09-01 21:30:00",5,8,"Sat",90.82,21,"Sep","weekend"
"2018-09-01 21:45:00",13,9,"Sat",90.82,21,"Sep","weekend"
"2018-09-02 06:00:00",0,0,"Sun",77.35,6,"Sep","weekend"
"2018-09-02 06:15:00",2,0,"Sun",77.35,6,"Sep","weekend"
"2018-09-02 06:30:00",2,0,"Sun",77.35,6,"Sep","weekend"
"2018-09-02 06:45:00",2,1,"Sun",77.35,6,"Sep","weekend"
"2018-09-02 07:00:00",1,4,"Sun",76.56,7,"Sep","weekend"
"2018-09-02 07:15:00",3,6,"Sun",76.56,7,"Sep","weekend"
"2018-09-02 07:30:00",7,5,"Sun",76.56,7,"Sep","weekend"
"2018-09-02 07:45:00",1,1,"Sun",76.56,7,"Sep","weekend"
"2018-09-02 08:00:00",2,1,"Sun",77.42,8,"Sep","weekend"
"2018-09-02 08:15:00",8,6,"Sun",77.42,8,"Sep","weekend"
"2018-09-02 08:30:00",6,7,"Sun",77.42,8,"Sep","weekend"
"2018-09-02 08:45:00",1,6,"Sun",77.42,8,"Sep","weekend"
"2018-09-02 09:00:00",8,8,"Sun",80.3,9,"Sep","weekend"
"2018-09-02 09:15:00",8,5,"Sun",80.3,9,"Sep","weekend"
"2018-09-02 09:30:00",8,13,"Sun",80.3,9,"Sep","weekend"
"2018-09-02 09:45:00",6,17,"Sun",80.3,9,"Sep","weekend"
"2018-09-02 10:00:00",3,5,"Sun",84.23,10,"Sep","weekend"
"2018-09-02 10:15:00",8,10,"Sun",84.23,10,"Sep","weekend"
"2018-09-02 10:30:00",9,10,"Sun",84.23,10,"Sep","weekend"
"2018-09-02 10:45:00",2,18,"Sun",84.23,10,"Sep","weekend"
"2018-09-02 11:00:00",4,6,"Sun",87.86,11,"Sep","weekend"
"2018-09-02 11:15:00",12,15,"Sun",87.86,11,"Sep","weekend"
